Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0102926,6,2023-12-09,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1512782,1991-01-30,Jonathan Demme
tt0103064,8,2023-12-09,Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/,movie,8.6,137,1991,"Action, Sci-Fi",1152116,1991-07-01,James Cameron
tt0105236,8,2023-12-09,Reservoir Dogs,https://www.imdb.com/title/tt0105236/,movie,8.3,99,1992,"Crime, Thriller",1068617,1992-01-21,Quentin Tarantino
tt0107290,8,2023-12-09,Jurassic Park,https://www.imdb.com/title/tt0107290/,movie,8.2,127,1993,"Action, Adventure, Sci-Fi, Thriller",1044683,1993-06-09,Steven Spielberg
tt0108052,8,2023-12-09,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,9.0,195,1993,"Biography, Drama, History",1421068,1993-11-30,Steven Spielberg
tt0109830,10,2023-12-09,Forrest Gump,https://www.imdb.com/title/tt0109830/,movie,8.8,142,1994,"Drama, Romance",2203291,1994-06-23,Robert Zemeckis
tt0110357,7,2023-12-09,The Lion King,https://www.imdb.com/title/tt0110357/,movie,8.5,88,1994,"Animation, Adventure, Drama, Family, Musical",1117651,1994-06-12,"Rob Minkoff, Roger Allers"
tt0110912,7,2023-12-09,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",2168250,1994-05-21,Quentin Tarantino
tt0111161,10,2023-12-09,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2827835,1994-09-10,Frank Darabont
tt0112573,5,2023-12-09,Braveheart,https://www.imdb.com/title/tt0112573/,movie,8.3,178,1995,"Biography, Drama, History, War",1075999,1995-05-18,Mel Gibson
tt0116282,10,2023-12-09,Fargo,https://www.imdb.com/title/tt0116282/,movie,8.1,98,1996,"Crime, Thriller",710086,1996-03-08,"Ethan Coen, Joel Coen"
tt0117951,7,2023-12-09,Trainspotting,https://www.imdb.com/title/tt0117951/,movie,8.1,93,1996,Drama,714767,1996-02-23,Danny Boyle
tt0119698,10,2023-12-09,Mononoke-hime,https://www.imdb.com/title/tt0119698/,movie,8.3,134,1997,"Animation, Action, Adventure, Fantasy",421100,1997-07-12,Hayao Miyazaki
tt0120735,10,2023-12-09,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/,movie,8.1,107,1998,"Action, Comedy, Crime",607056,1998-08-23,Guy Ritchie
tt0052357,10,2023-12-09,Vertigo,https://www.imdb.com/title/tt0052357/,movie,8.3,128,1958,"Mystery, Romance, Thriller",420001,1958-05-09,Alfred Hitchcock
tt0054215,7,2023-12-09,Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,"Horror, Mystery, Thriller",706072,1960-06-16,Alfred Hitchcock
tt0056592,8,2023-12-09,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,movie,8.3,129,1962,"Crime, Drama",328365,1962-12-25,Robert Mulligan
tt0064116,7,2023-12-09,C'era una volta il West,https://www.imdb.com/title/tt0064116/,movie,8.5,166,1968,Western,344143,1968-12-20,Sergio Leone
tt0068646,8,2023-12-09,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1971073,1972-03-14,Francis Ford Coppola
tt0073486,8,2023-12-09,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,movie,8.7,133,1975,Drama,1052405,1975-11-19,Milos Forman
tt0075314,10,2023-12-09,Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.2,114,1976,"Crime, Drama",897402,1976-02-08,Martin Scorsese
tt0078788,8,2023-12-09,Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.4,147,1979,"Drama, Mystery, War",697782,1979-05-19,Francis Ford Coppola
tt0081505,10,2023-12-09,The Shining,https://www.imdb.com/title/tt0081505/,movie,8.4,146,1980,"Drama, Horror",1084263,1980-05-23,Stanley Kubrick
tt0082096,7,2023-12-09,Das Boot,https://www.imdb.com/title/tt0082096/,movie,8.4,149,1981,"Drama, War",260740,1981-09-17,Wolfgang Petersen
tt0082971,6,2023-12-09,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,movie,8.4,115,1981,"Action, Adventure",1020606,1981-06-12,Steven Spielberg
tt0086190,4,2023-12-09,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,movie,8.3,131,1983,"Action, Adventure, Fantasy, Sci-Fi",1102133,1983-05-23,Richard Marquand
tt0086250,8,2023-12-09,Scarface,https://www.imdb.com/title/tt0086250/,movie,8.3,170,1983,"Crime, Drama",895326,1983-12-01,Brian De Palma
tt0087843,8,2023-12-09,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/,movie,8.3,229,1984,"Crime, Drama",370515,1984-05-20,Sergio Leone
tt0088763,10,2023-12-09,Back to the Future,https://www.imdb.com/title/tt0088763/,movie,8.5,116,1985,"Adventure, Comedy, Sci-Fi",1277541,1985-07-03,Robert Zemeckis
tt0093058,10,2023-12-09,Full Metal Jacket,https://www.imdb.com/title/tt0093058/,movie,8.3,116,1987,"Drama, War",776719,1987-06-17,Stanley Kubrick
tt0095016,6,2023-12-09,Die Hard,https://www.imdb.com/title/tt0095016/,movie,8.2,132,1988,"Action, Thriller",920984,1988-07-12,John McTiernan
tt0095327,10,2023-12-09,Hotaru no haka,https://www.imdb.com/title/tt0095327/,movie,8.5,89,1988,"Animation, Drama, War",300308,1988-04-16,Isao Takahata
tt0097576,5,2023-12-09,Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/,movie,8.2,127,1989,"Action, Adventure",797791,1989-05-24,Steven Spielberg
tt0099685,6,2023-12-09,Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,145,1990,"Biography, Crime, Drama",1228963,1990-09-09,Martin Scorsese
